"state","state_name","county","fips","ClusterRank"
"AL","Alabama","Autauga County",1001,"High 2"
"AL","Alabama","Baldwin County",1003,"High 3"
"AL","Alabama","Barbour County",1005,"High 3"
"AL","Alabama","Bibb County",1007,"High 2"
"AL","Alabama","Blount County",1009,"Mid 4"
"AL","Alabama","Bullock County",1011,"High 2"
"AL","Alabama","Butler County",1013,"High 2"
"AL","Alabama","Calhoun County",1015,"High 2"
"AL","Alabama","Chambers County",1017,"High 2"
"AL","Alabama","Cherokee County",1019,"Mid 4"
"AL","Alabama","Chilton County",1021,"High 2"
"AL","Alabama","Choctaw County",1023,"High 2"
"AL","Alabama","Clarke County",1025,"High 2"
"AL","Alabama","Clay County",1027,"High 2"
"AL","Alabama","Cleburne County",1029,"High 2"
"AL","Alabama","Coffee County",1031,"High 2"
"AL","Alabama","Colbert County",1033,"High 1"
"AL","Alabama","Conecuh County",1035,"High 2"
"AL","Alabama","Coosa County",1037,"High 2"
"AL","Alabama","Covington County",1039,"High 2"
"AL","Alabama","Crenshaw County",1041,"High 2"
"AL","Alabama","Cullman County",1043,"Mid 4"
"AL","Alabama","Dale County",1045,"High 2"
"AL","Alabama","Dallas County",1047,"High 2"
"AL","Alabama","DeKalb County",1049,"Mid 4"
"AL","Alabama","Elmore County",1051,"High 2"
"AL","Alabama","Escambia County",1053,"High 2"
"AL","Alabama","Etowah County",1055,"High 2"
"AL","Alabama","Fayette County",1057,"High 2"
"AL","Alabama","Franklin County",1059,"High 1"
"AL","Alabama","Geneva County",1061,"High 2"
"AL","Alabama","Greene County",1063,"High 2"
"AL","Alabama","Hale County",1065,"High 2"
"AL","Alabama","Henry County",1067,"High 2"
"AL","Alabama","Houston County",1069,"High 2"
"AL","Alabama","Jackson County",1071,"High 2"
"AL","Alabama","Jefferson County",1073,"High 2"
"AL","Alabama","Lamar County",1075,"High 2"
"AL","Alabama","Lauderdale County",1077,"High 1"
"AL","Alabama","Lawrence County",1079,"High 1"
"AL","Alabama","Lee County",1081,"High 2"
"AL","Alabama","Limestone County",1083,"High 2"
"AL","Alabama","Lowndes County",1085,"High 2"
"AL","Alabama","Macon County",1087,"High 2"
"AL","Alabama","Madison County",1089,"High 1"
"AL","Alabama","Marengo County",1091,"High 2"
"AL","Alabama","Marion County",1093,"High 1"
"AL","Alabama","Marshall County",1095,"Mid 4"
"AL","Alabama","Mobile County",1097,"High 3"
"AL","Alabama","Monroe County",1099,"High 2"
"AL","Alabama","Montgomery County",1101,"High 2"
"AL","Alabama","Morgan County",1103,"Mid 4"
"AL","Alabama","Perry County",1105,"High 2"
"AL","Alabama","Pickens County",1107,"High 2"
"AL","Alabama","Pike County",1109,"High 2"
"AL","Alabama","Randolph County",1111,"Mid 4"
"AL","Alabama","Russell County",1113,"High 2"
"AL","Alabama","St. Clair County",1115,"High 2"
"AL","Alabama","Shelby County",1117,"High 2"
"AL","Alabama","Sumter County",1119,"High 2"
"AL","Alabama","Talladega County",1121,"High 2"
"AL","Alabama","Tallapoosa County",1123,"High 2"
"AL","Alabama","Tuscaloosa County",1125,"High 2"
