"Model","Cluster","Absolute Humidity (14-day Lag)","Retail and Recreation (14-day Lag)","Grocery Stores and Pharmacies (14-day Lag)","Parks (14-day Lag)","Transit Stations (14-day Lag)","Workplaces (14-day Lag)","Residential (14-day Lag)","Immunity Factor","New Cases per 100,000 (14-day Lag)","FIPS"
"All (Mar 2020 - Sep 2020)","High 1",2.4943064727629,4.35452930470954,2.94921236985671,2.42675213678942,4.61999637612053,4.5125038258059,6.02726894817881,2.23970736406723,1.34775064247002,1.06568730891321
"Absolute Humidity (Mar 2020 - Sep 2020)","High 1",1.95665424605585,NA,NA,NA,NA,NA,NA,2.06919043390406,1.31464159281823,1.01014924359685
"Retail and Rec (Mar 2020 - Sep 2020)","High 1",2.09098322953085,1.64526398539761,NA,NA,NA,NA,NA,2.07491256808819,1.32448233413577,1.01564411738709
"Grocery and Pharmacy (Mar 2020 - Sep 2020)","High 1",2.1118101230003,NA,1.62994535734268,NA,NA,NA,NA,2.12905986815833,1.31455336281953,1.01673938553838
"Parks (Mar 2020 - Sep 2020)","High 1",2.237428660686,NA,NA,2.06231416480939,NA,NA,NA,2.07773321465054,1.3255839551232,1.02076055968684
"Transit (Mar 2020 - Sep 2020)","High 1",2.00658847043864,NA,NA,NA,2.83792269738262,NA,NA,2.05887507624882,1.31325262379765,1.02507340799503
"Workplaces (Mar 2020 - Sep 2020)","High 1",2.02221781318598,NA,NA,NA,NA,1.48135120052322,NA,2.06286854513389,1.3282628968283,1.01547374244334
"Residential (Mar 2020 - Sep 2020)","High 1",2.07326507215385,NA,NA,NA,NA,NA,1.58227819230527,2.07003104002064,1.32799872311714,1.01516967380823
"All (Oct 2020 - Mar 2021)","High 1",1.91894339044947,4.37630534035257,3.1290382920784,2.51899649398857,5.08363887440346,3.55230417157956,5.20183837735155,1.96209329513418,1.06047883826384,1.06588151320858
"Absolute Humidity (Oct 2020 - Mar 2021)","High 1",1.63633044248613,NA,NA,NA,NA,NA,NA,1.75420065086906,1.05699944345118,1.00500442266961
"Retail and Rec (Oct 2020 - Mar 2021)","High 1",1.62001521502849,1.94010166543886,NA,NA,NA,NA,NA,1.73427289532418,1.06475541782541,1.01346948226209
